UWI,x,y,Name,Data_Source,DS_UID,replicates,Sources,Company,Spud_Year,Status
300A016010123151,[-123.2531],[60.0011],FORT LIARD A-01,OROGO,OROGO-574,1,1,Paramount Resources Ltd.,1999,Abandoned
300A016850134000,"[-134.0112, -134.0086]","[68.6702, 68.6703]",IKHIL A-01,ILA;GSC_6959;CER;GSC_4828,ILA-41;GSC_6959-56;GSC_4828-28;CER-57,4,4,"['ConocoPhillips', 'Gulf Canada Resources Inc.', 'Gulf et al.']",1971,Abandoned
300A027940087000,[-87.0204],[79.521],MOKKA A-02,Basin,Basin-37,1,1,IMP PANARCTIC ET AL,1972,Plugged
300A036010117300,[-117.5017],[60.0369],CAMERON A-03,OROGO,OROGO-661,1,1,Strategic Oil & Gas Ltd.,2007,Abandoned
300A056010117300,[-117.5089],[60.0674],CAMERON A-05,NTGS_2019_015,NTGS_2019_015-26,1,1,,1968,
300A056010117304,[-117.509],[60.0674],CAMERON A-05,OROGO,OROGO-204,1,1,Strategic Oil & Gas Ltd.,1968,Abandoned
300A056740134000,[-134.0052],[67.5682],PT. SEPARATION NO.1(A-05),NTGS_2009_03;OROGO,OROGO-94;NTGS_2009_03-3,2,2,Richfield Oil Corporation,1960,Abandoned
300A057000136450,"[-136.7625, -136.7624, -136.7597]","[69.9039, 69.9041, 69.9039]",PITSIULAK A-05,GSC_6959;NTGS_2019_015;GSC_4828,GSC_6959-186;NTGS_2019_015-116;GSC_4828-187,3,3,Gulf et al.,1983,Abandoned
300A066930134300,"[-134.5073, -134.5072, -134.5044]","[69.4169, 69.4169, 69.4169]",MALLIK A-06,GSC_6959;ILA;CER;GSC_4828,GSC_6959-123;ILA-93;CER-77;GSC_4828-38,4,4,"['Imp.', 'Imperial', 'Esso Resources Canada Limited']",1972,Abandoned
300A066950137000,"[-137.0083, -137.0054]","[69.7504, 69.7505]",IMMIUGAK A-06,GSC_6959;CER;GSC_4828,GSC_6959-62;CER-325;GSC_4828-243,3,3,"['Gulf Canada Resources Inc.', 'Gulf et al.']",,Abandoned
300A077530110000,[-110.0161],[75.4357],SABINE BAY A-07,ILA;Basin,Basin-104;ILA-153,2,2,"['Suncor', 'PANARCTIC ET AL']",1975,Plugged
300A097450110300,[-110.5125],[74.8024],WINTER HARBOUR NO.1(A-09),ILA,ILA-220,1,1,BP,1961,Abandoned
300A106100120150,[-120.252],[60.9865],TROUT RIVER NO.4(A-10),OROGO,OROGO-88,1,1,Briggs D. Todd,1960,Abandoned
300A106910133150,"[-133.25, -133.2539]","[69.1506, 69.1501]",NUNA A-10,GSC_4828;ILA;GSC_6959,GSC_4828-192;GSC_6959-158;ILA-120,3,3,"['Esso et al.', 'Imperial']",1983,Abandoned
300A126340124000,[-124.0392],[63.5173],JOHNSON A-12,OROGO,OROGO-418,1,1,Western Decalta Petroleum Ltd.,1973,Abandoned
300A126910133300,"[-133.546, -133.5422, -133.5448]","[69.0163, 69.0167, 69.0167]",SIKU A-12,NTGS_2019_015;GSC_4828;ILA;GSC_6959,NTGS_2019_015-122;GSC_4828-125;ILA-160;GSC_6959-199,4,4,"['ConocoPhillips', 'Gulf et al.']",1976,Abandoned
300A126930133000,"[-133.0525, -133.0497, -133.0524]","[69.3501, 69.3504, 69.3504]",TUKTUK A-12,NTGS_2019_015;GSC_4828;ILA;GSC_6959,NTGS_2019_015-151;GSC_4828-214;ILA-191;GSC_6959-229,4,4,"['Esso et al.', 'Imperial']",1985.0,Abandoned
300A157300124300,[-124.5611],[72.9004],STORKERSON BAY A-15,ILA;Basin,Basin-17;ILA-166,2,2,"['ELF ET AL', 'Husky']",1971,Plugged
300A166530127300,"[-127.5383, -127.5383]","[65.4167, 65.4168]",CANOL HOOSIER RIDGE NO.2(A-16),NTGS_2009_03;OROGO,NTGS_2009_03-103;OROGO-6,2,2,Imperial Oil Limited,1943,Abandoned
300A216200117450,[-117.8178],[61.8356],LAFERTE RIVER A-21,OROGO,OROGO-158,1,1,Canada-Cities Service Petroleum Corp.,1966,Abandoned
300A226540131450,[-131.8174],[65.5169],A-1 CRANSWICK A-22,NTGS_2009_03;OROGO,OROGO-377;NTGS_2009_03-45,2,2,Amoco Canada Petroleum Company Ltd.,1972,Abandoned
300A236550129150,[-129.322],[65.7039],MOUNTAIN R. A-23,NTGS_2009_03;OROGO,OROGO-390;NTGS_2009_03-48,2,2,Candel Oil Ltd.,1972,Abandoned
300A236930126150,[-126.3442],[69.3685],SMOKING HILLS A-23,ILA,ILA-164,1,1,Uncertain,1974,Abandoned
300A256610137150,[-137.3161],[66.0695],NCY MCPARLON A-25,GeoYukon,GeoYukon-20,1,1,Northern Cross Yukon,2012,Abandoned
300A257000136150,"[-136.3419, -136.3415, -136.339]","[69.9029, 69.9022, 69.9026]",TARSIUT A-25,GSC_6959;NTGS_2019_015;GSC_4828,GSC_6959-212;NTGS_2019_015-136;GSC_4828-155,3,3,Dome et al.,1978,Abandoned
300A267730099300,[-99.6385],[77.4193],GRENADIER A-26,Basin,Basin-158,1,1,PANARCTIC ET AL,1983,Plugged
300A286410125000,[-125.0712],[64.1176],KEELE SOUTH A-28,OROGO,OROGO-381,1,1,Western Decalta Petroleum Ltd.,1972,Abandoned
300A286920134300,"[-134.5936, -134.5936, -134.5908]","[69.2865, 69.2863, 69.2864]",YA YA A-28,NTGS_2019_015;ILA;GSC_6959;CER;GSC_4828,NTGS_2019_015-165;ILA-222;GSC_6959-261;GSC_4828-81;CER-136,5,5,"['Gulf Canada Resources Inc.', 'Uncertain', 'Gulf et al.']",1974,Abandoned
300A326910133150,"[-133.3788, -133.3761]","[69.0205, 69.0206]",NUNA A-32,ILA;GSC_6959;CER;GSC_4828,GSC_6959-159;ILA-121;CER-128;GSC_4828-76,4,4,Imp.,1973,Abandoned
300A326940132000,"[-132.1283, -132.1256]","[69.5192, 69.5192]",MAGAK A-32,ILA;GSC_6959;CER;GSC_4828,GSC_6959-120;ILA-87;CER-47;GSC_4828-22,4,4,"['Imperial Oil Enterprises Limited', 'I.O.E.', 'Imperial']",1970,Abandoned
300A356850135450,"[-135.8851, -135.8825]","[68.7338, 68.7339]",ULU A-35,ILA;GSC_6959;CER;GSC_4828,GSC_6959-237;ILA-197;CER-189;GSC_4828-121,4,4,Shell,1976,Abandoned
300A376150122300,[-122.6002],[61.7693],CAMSELL A-37,OROGO,OROGO-156,1,1,Hudson's Bay Oil And Gas Company Limited,1966,Abandoned
300A376500125450,[-125.8518],[64.9334],BLUEFISH NO.1(A-37),OROGO,OROGO-1,1,1,Imperial Oil Limited,1921,Abandoned
300A376500126000,[-126.0968],[64.9348],SLATER RIVER A-37,OROGO,OROGO-311,1,1,"Mobil Oil Canada, Ltd.",1970,Abandoned
300A376520126450,[-126.8491],[65.2721],NORMAN WELLS E-42X,NTGS_2009_03,NTGS_2009_03-355;NTGS_2009_03-344;NTGS_2009_03-345,3,1,Imperial Oil Limited,1984,Producer
300A376630129300,[-129.6002],[66.436],N.CIRCLE RIVER NO.1(A-37),NTGS_2009_03;OROGO,NTGS_2009_03-8;OROGO-101,2,2,"['Suncor Energy Inc.', 'Atlantic Richfield Company']",1960,Abandoned
300A376820135000,"[-135.1297, -135.1321]","[68.2708, 68.2706]",AKLAVIK A-37,GSC_4828;NTGS_2009_03;ILA;GSC_6959,GSC_4828-19;NTGS_2009_03-185;GSC_6959-11;ILA-1,4,4,Shell,1970,Abandoned
300A386520126450,[-126.8518],[65.2842],CANOL B-38X,NTGS_2009_03,NTGS_2009_03-84,1,1,Imperial Oil Limited,1942,Producer
300A396250122451,[-122.8496],[62.8015],WILLOW A-39,OROGO,OROGO-386,1,1,Hudson's Bay Oil And Gas Company Limited,1972,Abandoned
300A406120116450,[-116.8514],[61.3168],DEEP BAY TEST NO.4,OROGO,OROGO-510,1,1,Punch Petroleums Ltd.,1952,Abandoned
300A406630124300,[-124.5997],[66.4863],GOOD HOPE A-40,OROGO,OROGO-437,1,1,Unocal Canada Limited,1974,Abandoned
