"  Natural Resources Canada, Geological Survey of Canada, Geoscience Data Repository, BASIN Database"											
"Date: August 20, 2026, 5:02 pm ADT"											
											
Well Name	Basin	Subbasin	Latitude (NAD27)	Longitude (NAD27)	Northing (NAD27)	Easting (NAD27)	Latitude (NAD83)	Longitude (NAD83)	Northing (NAD83)	Easting (NAD83)	Zone (UTM)
ABENAKI J-56	SCOTIAN BASIN	ABENAKI SUBBASIN	44.26239	-59.88417	4904846	269776	44.26245	-59.883397	4905067	269845	21
ABENAKI L-57	SCOTIAN BASIN	ABENAKI SUBBASIN	44.27625	-59.89431	4906414	269021	44.276317	-59.893536	4906636	269090	21
ACADIA K-62	SCOTIAN BASIN	LAHAVE PLATFORM	42.86222	-61.91737	4745868	588443	42.862294	-61.916636	4746092	588501	20
ADAMANT N-97	SCOTIAN BASIN	SABLE SUBBASIN	43.946709	-60.241093	4869439	721400	43.946778	-60.240334	4869664	721455	20
ADOLPHUS 2K-41	JEANNE D'ARC BASIN		47.01126	-48.36847	5209558	700023	47.011172	-48.367369	5209769	700101	22
ADOLPHUS D-50	JEANNE D'ARC BASIN		46.98418	-48.37468	5206533	699652	46.984089	-48.373589	5206744	699729	22
ADOLPHUS K-41	JEANNE D'ARC BASIN		47.01089	-48.36786	5209518	700071	47.0108	-48.366764	5209730	700148	22
ADVENTURE F-80	SCOTIAN BASIN	ORPHEUS GRABEN	45.32432	-57.93967	5019191	426356	45.324353	-57.938872	5019412	426421	21
AKPATOK ISLAND F-26	HUDSON STRAIT BASIN		60.42445	-68.33667	6698661	536525	60.424606	-68.33575	6698885	536574	19
ALBATROSS B-13	SCOTIAN BASIN	LAHAVE PLATFORM	42.70296	-63.03662	4727616	497001	42.703036	-63.035917	4727839	497058	20
ALLISON RIVER N-12	ARCTIC FOLD BELT		75.197889	-98.595167	8345572	511545	75.198671	-98.596177	8345813	511516	20
ALMA 1	SCOTIAN BASIN	SABLE SUBBASIN	43.596311	-60.68942	4829416	686508	43.596386	-60.688679	4829641	686562	20
ALMA 2	SCOTIAN BASIN	SABLE SUBBASIN	43.596335	-60.689396	4829419	686510	43.596411	-60.688654	4829644	686564	20
ALMA 3	SCOTIAN BASIN	SABLE SUBBASIN	43.596306	-60.689358	4829415	686513	43.596381	-60.688617	4829641	686567	20
ALMA 4	SCOTIAN BASIN	SABLE SUBBASIN	43.596292	-60.689385	4829414	686511	43.596368	-60.688644	4829640	686565	20
ALMA 4A	SCOTIAN BASIN	SABLE SUBBASIN	43.596292	-60.689385	4829414	686511	43.596368	-60.688644	4829640	686565	20
ALMA F-67	SCOTIAN BASIN	SABLE SUBBASIN	43.60514	-60.66569	4830450	688396	43.605211	-60.66495	4830675	688450	20
ALMA K-85	SCOTIAN BASIN	SABLE SUBBASIN	43.57897	-60.71714	4827428	684323	43.579047	-60.7164	4827654	684378	20
ALPHA-1S1	N/A		70.315043	-58.478393	7801508	444423	70.315043	-58.478393	7801682	444425	21
AMETHYST F-20	JEANNE D'ARC BASIN		46.65653	-48.04111	5171031	726390	46.656439	-48.040022	5171243	726467	22
AMUND CENTRAL DOME H-40	SVERDRUP BASIN		78.324528	-96.264111	8695894	561788	78.32544	-96.265627	8696132	561746	22
ANDREASEN L-32	SVERDRUP BASIN		77.19375	-118.237334	8568573	469385	77.194434	-118.240659	8568795	469306	22
ANNAPOLIS B-24	SCOTIAN BASIN	SABLE SUBBASIN	43.385531	-59.810596	4807251	272339	43.385603	-59.809823	4807472	272408	21
ANNAPOLIS G-24	SCOTIAN BASIN	SABLE SUBBASIN	43.389709	-59.808119	4807708	272555	43.389781	-59.807345	4807929	272624	21
ANSCHUTZ NO. 1	MARITIMES BASIN		45.653056	-61.883611	5055889	586986	45.653131	-61.882897	5056116	587039	20
ANTICOSTI NO. 1	ANTICOSTI BASIN		49.38833	-63.52472	5470539	461919	49.3884	-63.524028	5470766	461970	20
APOLLO C-73	ARCTIC FOLD BELT		75.533333	-111.982774	8383190	472594	75.534024	-111.985214	8383420	472529	20
ARCADIA J-16	SCOTIAN BASIN	SABLE SUBBASIN	44.09544	-59.53302	4885377	297235	44.095506	-59.532239	4885598	297304	21
ARCHER K-19	JEANNE D'ARC BASIN		46.64532	-48.03845	5169794	726640	46.645231	-48.037353	5170005	726718	22
ARGO F-38	SCOTIAN BASIN	ORPHEUS GRABEN	45.45645	-58.8401	5035088	356124	45.456489	-58.839325	5035308	356189	21
ASPY D-11/D-11A	SCOTIAN BASIN	?	42.833427	-60.297825	4745645	720856	42.833493	-60.297058	4745869	720913	20
ASTER C-93A	FLEMISH PASS BASIN		46.869431	-47.236328	5192864	329566	46.869431	-47.236328	5193083	329571	23
AT2-1	NUUK BASIN		64.356922	-55.426256	7137534	575989	64.356922	-55.426256	7137729	575986	21
AT7-1	NUUK BASIN		64.742542	-55.708571	7180195	561484	64.742542	-55.708571	7180389	561482	21
AVONDALE A-46	JEANNE D'ARC BASIN		46.58579	-48.6051	5161704	683479	46.585706	-48.604022	5161915	683556	22
BACCALIEU F-89	FLEMISH PASS BASIN		47.973508	-46.214525	5313851	409353	47.973508	-46.214525	5314069	409356	23
BACCALIEU I-78	FLEMISH PASS BASIN		47.96167	-46.18079	5312496	411851	47.961525	-46.179656	5312697	411938	23
BAIE VERTE J-57	ORPHAN BASIN		50.27887	-51.13153	5569427	490628	50.278772	-51.130492	5569635	490702	22
BALAENA D-58	SVERDRUP BASIN		77.62	-100.373142	8616205	467138	77.620973	-100.376067	8616457	467072	22
BALLICATTERS M-96	JEANNE D'ARC BASIN		46.763175	-48.498922	5181667	690987	46.763084	-48.497836	5181877	691064	22
BALLICATTERS M-96Z	JEANNE D'ARC BASIN		46.763175	-48.498922	5181667	690987	46.763084	-48.497836	5181877	691064	22
BALMORAL M-32	SCOTIAN BASIN	LAHAVE PLATFORM	43.86525	-60.59631	4859499	693157	43.865319	-60.595567	4859724	693211	20
BALVENIE B-79	SCOTIAN BASIN	SABLE SUBBASIN	43.133692	-60.182456	4779300	729167	43.133769	-60.181682	4779526	729224	20
BANDOL NO. 1	SCOTIAN BASIN	LAURENTIAN SUBBASIN	45.185433	-56.176903	5003662	564665	45.185471	-56.176073	5003884	564728	21
BANQUEREAU C-21	SCOTIAN BASIN	SABLE SUBBASIN	44.16875	-58.56673	4891593	374741	44.168811	-58.565922	4891815	374810	21
BAR HARBOUR E-76	ARCTIC STABLE PLATFORM		74.2575	-123.897225	8240813	472828	74.258001	-123.900617	8241028	472727	21
BARTIBOG NO. 1	MARITIMES BASIN		47.21278	-65.40139	5231389	318157	47.212831	-65.400753	5231612	318211	20
BATHURST CALEDONIAN RIVER J-34	ARCTIC FOLD BELT		75.558611	-98.716667	8385802	507888	75.559409	-98.717693	8386042	507859	20
BAY D'ESPOIR B-09	FLEMISH PASS BASIN		47.969406	-46.505525	5313778	387626	47.969406	-46.505525	5313997	387630	23
BAY DE LOUP M-62	FLEMISH PASS BASIN		47.863528	-46.422061	5301892	393639	47.863528	-46.422061	5302111	393642	23
BAY DE VERDE F-67	FLEMISH PASS BASIN		47.938606	-46.411678	5310222	394568	47.938606	-46.411678	5310441	394571	23
BAY DE VERDE F-67Z	FLEMISH PASS BASIN		47.938606	-46.411678	5310222	394568	47.938606	-46.411678	5310441	394571	23
BAY DU NORD C-78	FLEMISH PASS BASIN		47.950067	-46.441297	5311537	392380	47.950067	-46.441297	5311756	392383	23
BAY DU NORD C-78Z	FLEMISH PASS BASIN		47.950067	-46.441297	5311537	392380	47.950067	-46.441297	5311756	392383	23
BAY DU NORD L-76	FLEMISH PASS BASIN		47.928872	-46.445175	5309187	392046	47.928872	-46.445175	5309405	392049	23
BAY DU NORD L-76Z	FLEMISH PASS BASIN		47.928872	-46.445183	5309187	392046	47.928872	-46.445183	5309405	392049	23
BAY DU NORD P-78	FLEMISH PASS BASIN		47.962983	-46.430269	5312957	393230	47.962983	-46.430269	5313176	393233	23
BEAR RIVER NO. 1	MARITIMES BASIN		46.421036	-62.404994	5140783	545723	46.421087	-62.404311	5141007	545774	20
BEATON POINT F-70	MARITIMES BASIN		46.65559	-61.91239	5167248	583218	46.655644	-61.911689	5167473	583269	20
BEAVERDAM D-76	MARITIMES BASIN		45.75192	-66.69894	5068842	678975	45.752	-66.699	5069068	678965	19
BELUGA O-23	HUDSON PLATFORM?		59.21501	-88.55755	6564824	411075	59.215175	-88.557453	6565051	411085	16
BEN NEVIS I-45	JEANNE D'ARC BASIN		46.57771	-48.35273	5161425	702843	46.577614	-48.351647	5161635	702920	22
BEN NEVIS L-55	JEANNE D'ARC BASIN		46.575502	-48.396688	5161067	699483	46.575411	-48.395603	5161278	699560	22
BENT HORN A-57	SVERDRUP BASIN		76.433611	-103.821945	8483731	530847	76.43439	-103.823609	8483964	530800	22
BENT HORN F-72	SVERDRUP BASIN		76.357556	-103.970835	8475172	527097	76.358333	-103.972498	8475406	527050	22
BENT HORN F-72A	SVERDRUP BASIN		76.357556	-103.970835	8475172	527097	76.358333	-103.972498	8475406	527050	22
BENT HORN F-72B	SVERDRUP BASIN		76.357556	-103.970835	8475172	527097	76.358333	-103.972498	8475406	527050	22
BENT HORN N-72	SVERDRUP BASIN		76.364167	-103.970004	8475910	527106	76.364943	-103.971666	8476143	527059	22
BEOTHUK M-05	JEANNE D'ARC BASIN		46.413486	-48.520569	5142759	690556	46.413397	-48.519492	5142970	690633	22
BEVERLEY INLET G-13	ARCTIC FOLD BELT		75.038889	-108.089727	8329849	583839	75.039594	-108.091685	8330079	583775	22
BIRCH GROVE NO. 1	MARITIMES BASIN		46.14511	-59.93473	5114140	273349	46.145178	-59.933953	5114363	273416	21
BITTERN M-62	HORSESHOE BASIN		44.69885	-51.17064	4949295	486480	44.698847	-51.169542	4949511	486568	22
BJARNI H-81	HOPEDALE BASIN		55.50815	-57.70153	6151349	455692	55.508217	-57.700506	6151571	455758	21
BJARNI O-82	HOPEDALE BASIN		55.53006	-57.70964	6153793	455205	55.530125	-57.708608	6154014	455271	21
BLANCHARD NO. 1	MARITIMES BASIN		47.71333	-64.89556	5285960	357816	47.713	-64.895	5286141	357862	20
BLUE FIORD E-46	ARCTIC FOLD BELT		77.2575	-86.302222	8575467	517181	77.258352	-86.301968	8575706	517186	16
BLUE H-28	ORPHAN BASIN		49.62415	-49.30054	5498011	622743	49.624025	-49.299494	5498218	622815	22
BLUENOSE 2G-47	SCOTIAN BASIN	SABLE SUBBASIN	44.10619	-59.3564	4886151	311408	44.106256	-59.355614	4886373	311476	21
BLUENOSE G-47	SCOTIAN BASIN	SABLE SUBBASIN	44.10568	-59.35762	4886097	311309	44.105744	-59.356839	4886319	311377	21
BONANZA M-71	JEANNE D'ARC BASIN		47.51321	-48.1987	5265783	710922	47.513108	-48.197597	5265993	710999	22
BONAVENTURE O-96	FLEMISH PASS BASIN		48.263086	-46.235922	5346061	408273	48.263086	-46.235922	5346280	408276	23
BONAVISTA C-99	ORPHAN BASIN		49.134906	-51.239119	5442261	482557	49.134906	-51.239119	5442480	482558	22
BONNE BAY C-73	JEANNE D'ARC BASIN		46.53632	-48.19181	5157252	715336	46.536225	-48.190719	5157463	715414	22
BONNET P-23	SCOTIAN BASIN	LAHAVE PLATFORM	42.38018	-65.05052	4693811	331187	42.380267	-65.049881	4694033	331245	20
BONNITION H-32	CARSON BASIN		45.85744	-48.32549	5081469	707629	45.857372	-48.324394	5081682	707708	22
