Well ID,Well Name,UWI,Well Operator,Well Status,Classification,SPUD Date,Rig Release Date,Land Title,Region,NAD 27 Lat,NAD 27 Long,NAD 83 Lat,NAD 83 Long
1887,TATE G-18,300G186430125150,AEC West Ltd.,Abandoned,Exploratory Well,2000-02-17 0:00,2000-03-09 0:00,,NWT Mainland,"64° 27' 17.3""","125° 17' 33.2""","64° 27' 17.6""","125° 17' 39.6"""
1888,CARCAJOU O-74,300O746540128000,AEC West Ltd.,Abandoned,Exploratory Well,2000-02-22 0:00,2000-03-11 0:00,EL387,NWT Mainland,"65° 33' 48.1""","128° 13' 59.3""","65° 33' 48.3""","128° 14' 6.3"""
1889,CARCAJOU P-16,300P166540128150,AEC West Ltd.,Abandoned,Exploratory Well,2000-02-25 0:00,2000-03-05 0:00,EL387,NWT Mainland,"65° 35' 57.0""","128° 17' 18.2""","65° 35' 57.2""","128° 17' 25.2"""
1890,CARCAJOU D-07,300D076540128300,AEC West Ltd.,Abandoned,Exploratory Well,2000-03-02 0:00,2000-03-19 0:00,,NWT Mainland,"65° 36' 10.1""","128° 31' 49.8""","65° 36' 10.2""","128° 31' 56.8"""
1891,CARCAJOU O-47,300O476540128300,AEC West Ltd.,Abandoned,Exploratory Well,2000-02-26 0:00,2000-03-25 0:00,EL387,NWT Mainland,"65° 36' 47.8""","128° 38' 11.5""","65° 36' 47.9""","128° 38' 18.5"""
485,REDKNIFE E-55,300E556040119300,Amerada Hess Canada Limited,Abandoned,Exploratory Well,1970-01-12 0:00,1970-02-04 0:00,3584,NWT Mainland,"60° 34' 23.0""","119° 41' 5.5""","60° 34' 23.3""","119° 41' 10.9"""
171,"CROWN BELL RIVER ""YT-A"" NO.1 (N-50)",300N506720136450,Amerada Minerals Corporation of Canada Ltd.,Abandoned,Exploratory Well,1960-02-29 0:00,1960-09-08 0:00,1104,Yukon,"67° 19' 45.0""","136° 53' 29.0""","67° 19' 44.3""","136° 53' 37.8"""
1740,KINGARK J-54,300J546950137150,Amoco Canada Petroleum Company Ltd.,Abandoned,Exploratory Well,1989-07-18 0:00,1989-10-10 0:00,EL346,Beaufort Sea,"69° 43' 44.2""","137° 28' 14.9""","69° 43' 43.8""","137° 28' 25.4"""
467,INUVIK D-54,300D546830133300,Amoco Canada Petroleum Company Ltd.,Abandoned,Exploratory Well,1969-07-19 0:00,1969-09-12 0:00,4260,NWT Mackenzie Delta,"68° 23' 12.8""","133° 44' 24.8""","68° 23' 12.6""","133° 44' 34.0"""
907,E. CAMERON D-16,300D166010116300,Amoco Canada Petroleum Company Ltd.,Abandoned,Exploratory Well,1974-02-21 0:00,1974-03-13 0:00,4586,NWT Mainland,"60° 5' 8.0""","116° 33' 31.0""","60° 5' 8.4""","116° 33' 36.1"""
