WELL_ID,WELL_NAME,OPERATOR,STATUS,LAND_TITLE,REGION,NAD_83_LAT,NAD_83_LON
157,GRANDVIEW HILLS NO.1(A-47),Richfield Oil Corporation,Abandoned,1637,NWT Mainland,67.10333,-130.875
178,PT. SEPARATION NO.1(A-05),Richfield Oil Corporation,Abandoned,1522,NWT Mainland,67.56833,-134.00278
200,GRANDVIEW HILLS COREHOLE NO.1(J-34),Richfield Oil Corporation,Abandoned,1616,NWT Mainland,67.227778,-130.854444
201,WINTER HARBOUR NO.1(A-09),Dome Petroleum Limited,Abandoned,A713,NWT Arctic Islands Onshore,74.80167,-110.51028
211,NICHOLSON G-56,Texaco Canada Resources Ltd.,Abandoned,3090,NWT Mainland,69.92467,-128.97614
212,NICHOLSON N-45,Texaco Canada Resources Ltd.,Abandoned,3090,NWT Mainland,69.91639,-128.93856
221,ARCTIC CIRCLE ONTARATUE H-34,Suncor Energy Inc.,Abandoned,<Null>,NWT Mainland,66.38958,-132.09764
248,CLARE F-79,Imperial Oil Enterprises Limited,Abandoned,3643,NWT Mainland,67.13889,-133.23889
275,REINDEER D-27,British American Oil Company Ltd [The],Abandoned,1715,NWT Mackenzie Delta,69.10139,-134.615
293,STONY I-50,Imperial Oil Enterprises Limited,Abandoned,3732,NWT Mainland,67.49556,-135.37944
310,NEVEJO M-05,Imperial Oil Enterprises Limited,Abandoned,3622,NWT Mainland,67.24944,-134.02917
317,MARTIN HOUSE L-50,Imperial Oil Enterprises Limited,Abandoned,3600,NWT Mainland,66.82833,-133.40083
331,SWAN LAKE K-28,Imperial Oil Enterprises Limited,Abandoned,3637,NWT Mainland,67.12833,-133.57889
346,TREE RIVER H-38,Imperial Oil Enterprises Limited,Abandoned,3650,NWT Mainland,67.28917,-132.35
354,STONEY CORE HOLE F-52,Imperial Oil Enterprises Limited,Abandoned,3738,NWT Mainland,67.355555,-135.671944
355,STONEY CORE HOLE F-42,Imperial Oil Enterprises Limited,Abandoned,3738,NWT Mainland,67.356389,-135.645278
358,STONEY CORE HOLE 2F-52,Imperial Oil Enterprises Limited,Abandoned,3738,NWT Mainland,67.355833,-135.6725
359,STONEY CORE HOLE C-02,Imperial Oil Enterprises Limited,Abandoned,3738,NWT Mainland,67.352778,-135.516667
405,TUNUNUK K-10,Imperial Oil Enterprises Limited,Abandoned,1790,NWT Mackenzie Delta,68.99556,-134.77611
407,CROSSLEY LK S K-60,Canadian Pacific Oil & Gas Limited,Abandoned,5199,NWT Mainland,68.49417,-129.48722
419,TUK F-18,Imperial Oil Enterprises Limited,Abandoned,3828,NWT Mackenzie Delta,69.29139,-133.06694
458,KUGALUK N-02,Canadian Pacific Oil & Gas Limited,Abandoned,4832,NWT Mainland,68.53194,-131.52194
462,SANDY POINT L-46,Suncor Energy Inc.,Abandoned,<Null>,NWT Arctic Islands Onshore,76.42733,-115.30394
463,ESKIMO J-07,Imperial Oil Enterprises Limited,Abandoned,3947,NWT Mackenzie Delta,69.27861,-132.51639
467,INUVIK D-54,Amoco Canada Petroleum Company Ltd.,Abandoned,4260,NWT Mackenzie Delta,68.38689,-133.74022
468,ATTOE LK. I-06,International Nuclear Corporation,Abandoned,3792,NWT Mainland,67.425,-133.25278
470,MARIE BAY D-02,Suncor Energy Inc.,Abandoned,<Null>,NWT Arctic Islands Onshore,76.35031,-115.55867
473,HORTON RIVER G-02,Elf Oil Exploration And Production Canada Ltd.,Abandoned,4001,NWT Mainland,69.85625,-127.26564
475,ELLICE O-14,Imperial Oil Enterprises Limited,Abandoned,3847,NWT Mackenzie Delta,69.06556,-135.80444
478,ATKINSON H-25,Esso Resources Canada Limited,Abandoned,3975,NWT Mackenzie Delta,69.73822,-131.83925
496,THUNDER R. D-69,"Mobil Oil Canada, Ltd.",Abandoned,4444,NWT Mainland,67.63611,-130.21111
519,NUVORAK O-09,Imperial Oil Enterprises Limited,Abandoned,3957,NWT Mackenzie Delta,69.98194,-130.51556
520,NATAGNAK K-23,Imperial Oil Enterprises Limited,Abandoned,3967,NWT Mackenzie Delta,69.70861,-131.61222
523,SHOLOKPAOQAK P-60,Gulf Canada Resources Inc.,Abandoned,1656,NWT Mackenzie Delta,68.6625,-133.716667
532,CAPE NOREM A-80,Elf Oil Exploration And Production Canada Ltd.,Abandoned,A308,NWT Arctic Islands Onshore,77.48694,-110.45139
533,NATAGNAK H-50,Imperial Oil Enterprises Limited,Abandoned,3967,NWT Mackenzie Delta,69.82417,-131.66972
534,ATKINSON M-33,Imperial Oil Enterprises Limited,Abandoned,3975,NWT Mackenzie Delta,69.71333,-131.91194
536,ONIGAT C-38,Gulf Canada Resources Inc.,Abandoned,1655,NWT Mackenzie Delta,68.786111,-133.654167
540,HECLA J-60,Suncor Energy Inc.,Abandoned,<Null>,NWT Arctic Islands Offshore,76.32719,-110.33031
546,AKLAVIK A-37,Shell Canada Resources Limited,Abandoned,1819,NWT Mackenzie Delta,68.27075,-135.12956
554,WILKINS E-60,Elf Oil Exploration And Production Canada Ltd.,Abandoned,A-331,NWT Arctic Islands Onshore,77.98861,-111.3625
557,RAT PASS K-35,Banff Oil Ltd,Abandoned,4649,NWT Mainland,67.91181,-135.36578
