Well No.,Company,Well Name,Latitude,Longitude,KBm,GLm,TD(ft),TD(m),TVD
1,Texcan et al.,Nicholson G-56,"69° 55' 28.8""N","128° 58' 34""W",73.5,71.3,2830.0,862.6,862.5
2,Texcan et al.,Nicholson N-45,"69° 54' 59""N","128° 56' 18.8""w",16.8,14.6,2833.0,863.5,863.2
3,B.A. et al.,Reindeer D-27,"69° 06' 05"" N","134° 36' 54"" W",32.3,27.4,12668.0,3861.2,3853.9
4,I.O.E.,Tununuk K-10,"68° 59' 44"" n","134° 46' 34"" w",10.9,5.5,12326.0,3757.0,3752.5
5,C.P.O.G.,Crossley Lake S. K-60,"68° 29' 39""N","129° 29' 14""W",153.3,148.7,5528.9,1685.2,1684.9
6,I.O.E.,Tuk F-18,"69° 17' 29""N","133° 04' 01""W",25.9,21,10322.0,3146.2,3144.8
7,C.P.O.G.,Kugaluk N-02,"68° 31' 55""N","131° 31' 19""W",215.8,213.4,8045.0,2452.1,2449.7
8,I.O.E.,Eskimo J-07,"69° 16' 43""N","132° 30' 59""W",27.1,21,2971.1,905.6,905.0
9,Amoco et al.,Inuvik D-54,"68° 23' 13""N","133° 44' 25""W",42,36.5,5126.0,1562.4,1560.8
10,Elf,Horton River G-02,"69° 51' 23""N","127° 15' 56""W",38.1,33.5,8130.0,2478.0,2476.0
11,I.O.E.,Ellice O-14,"69° 03' 56""N","135° 48' 16"" W",5.2,1,9530.8,2905.0,2901.3
12,I.O.E.,Atkinson H-25,"69° 44' 18""N","131° 50' 21""W",8.5,4,5940.9,5928.7,1807.1
13,I.O.E.,Nuvorak O-09,"69° 58' 55""N","130° 30' 56""W",11,6.1,3798.0,1157.6,1156.4
14,I.O.E.,Natagnak K-23,"69° 42' 31""N","131° 36' 44""W",26.8,22.9,4977.0,1517.0,1516.9
15,Gulf,Sholokpaoqak P-60 (E. Reindeer P-60),"68° 39' 45""N","133° 43' 00""W",115.8,110.6,6300.0,1920.2,1897.3
16,I.O.E.,Natagnak H-50,"69° 49' 27""N","131° 40' 11""W",6.4,0.9,6401.9,1951.3,1949.6
17,I.O.E.,Atkinson M-33,"69° 42' 48""N","131° 54' 43""W",12.8,7.6,6327.1,1928.5,1928.1
18,Gulf,Onigat C-38 (E. Reindeer C-38),"68° 47' 10""N","133° 39' 15""W",71.6,66.1,8512.0,2594.5,2591.7
19,I.O.E.,Blow River Yt. E-47,"68° 46' 20""N","137° 27' 13""W",117,112.2,14000.0,4267.2,4210.9
20,Shell,Aklavik A-37,"68° 16' 15"" N","135°07' 47"" W",10.1,2.4,8479.0,2584.4,2560.7
21,Shell,Beaverhouse Creek H-13,"68° 22' 16"" N","135° 33' 03"" W",74.7,67.7,12295.0,3747.5,3696.4
22,I.O.E.,Tuktu O-19,"69° 18' 55""N","132° 48' 17""W",30.5,25.6,7597.0,2315.6,2315.0
23,I.O.E.,Magak A-32,"69° 31' 09""N","132° 07' 32""W",35.1,30.8,5160.0,1572.8,1572.2
24,Gulf et al.,Atigi G-04 (E. Reindeer G-04),"68° 53' 16""N","133° 46' 03""W",52.1,46.6,12250.0,3733.8,3728.9
25,I.O.E.,Spring River Yt. N-58,"69° 07' 53""N","138° 44' 05""W",96.9,92.7,7009.0,2136.3,2098.3
26,I.O.E.,Kanguk I-24,"69° 53' 40""N","131° 05' 12""W",11.3,7.3,5254.0,1601.4,1600.9
27,I.O.E.,Taglu G-33,"69° 22' 18"" N","134° 53' 37"" W",7.9,1.8,9823.0,2994.1,2990.4
28,I.O.E.,Mayogiak J-17,"69° 26' 47""N","132° 47' 57""W",22.6,17.7,12094.2,3686.3,3685.8
29,Gulf et al.,Ikhil A-01 (E. Reindeer A-01),"68° 40' 13""N","134° 00' 31""W",190.5,184.4,9693.0,2954.4,2952.7
30,I.O.E.,Pikiolik E-54,"69° 23' 15""N","132° 44' 35""W",24.4,17.7,10230.0,3118.1,3115.1
31,Imp.,Taglu West P-03,"69° 22' 59"" N","135° 00' 07"" W",8.5,1.2,10860.0,3310.1,3305.6
32,Imp.,Kimik D-29,"69° 38' 05""N","132° 22' 10""W",18.6,10.1,8720.0,2657.9,2655.8
33,Gulf et al.,Parsons F-09,"68° 58' 28.1""N","133° 31' 45""W",63.1,57.6,11638.0,3547.3,3541.9
34,I.O.E.,Pikiolik M-26,"69° 25' 55""N","132° 37' 26""W",24.1,17.4,6510.0,1984.3,1983.2
35,Imp.,Mallik L-38,"69° 27' 44""N","134° 39' 25""W",9.8,0.9,8307.0,2532.0,2530.3
36,Gulf et al.,Kilagmiotak F-48,"69° 27' 29""N","134° 11' 51""W",24.4,19.8,15655.8,4771.9,4759.9
37,I.O.E.,Taglu D-55,"69° 24' 14"" N","134° 59' 34"" W",11.5,1.3,12159.0,3706.1,3658.0
38,Imp.,Ivik J-26,"69° 35' 42""N","134° 20' 38""W",30.3,23,11969.0,3648.2,3645.4
39,Imp.,Mallik A-06,"69° 25' 01""N","134° 30' 16""W",35.5,27.3,13572.0,4136.8,3960.9
40,I.O.E.,Taglu C-42,"69° 21' 03"" N","134° 56' 35"" W",12.3,1.7,16060.0,4895.1,4866.0
41,Imp.,Atertak E-41,"69° 30' 27""N","132° 42' 08""W",19.8,12.3,6510.0,1984.3,1976.7
42,Gulf et al.,Siku C-55,"69° 04' 4""N","133° 43' 58""W",39.3,33.8,14785.0,4506.5,4502.1
43,Shell,Unipkat I-22,"69°11' 37.38"" N","135° 20' 27"" W",9.8,1.5,14309.0,4361.4,4328.6
44,Gulf et al.,Titalik K-26,"69° 05' 30"" N","135° 06' 15"" W",11.6,4.6,12600.0,3840.5,3837.1
45,Shell,Niglintgak H-30,"69° 19' 21"" N","135° 20' 35"" W",10.1,1.8,7816.9,2382.6,2381.5
46,Gulf et al.,YaYa P-53,"69° 12' 50"" N","134° 42' 45"" W",41.5,36,9950.0,3032.8,3027.7
47,Imp. et al.,Akku F-14,"69° 23' 15""N","132° 19' 08""W",40.2,33.5,4996.1,1522.8,1522.7
48,Imp.,Nuktak C-22,"69° 41' 07""N","134° 51' 30""W",47.7,38.1,12653.0,3856.6,3838.9
49,Imp.,Umiak J-37,"69° 26' 36""N","134° 23' 08""W",29,20.4,11920.0,3633.2,3614.7
50,Imp.,Ivik C-52,"69° 31' 10""N","134° 28' 52""W",21.3,13,10000.0,3048.0,3036.5
51,Pacific et al.,Roland BayYt.L-41,"69° 20' 31""N","138° 56' 55""W",20,12.5,9030.0,2752.3,2740.6
52,Imp.,Mallik P-59,"69° 28' 49""N","134° 42' 45""W",8.1,0.9,8634.0,2631.6,2626.9
53,Union,Aklavik F-17,"68° 06' 20""N","135° 04' 00""W",8.2,2.7,2925.0,891.5,891.4
54,Imp.,Ivik N-17,"69° 36' ' 51""N","134° 19' 16""w",35.3,28.3,10004.0,3049.2,3042.7
55,Imp. et al.,Kanguk F-42,"69° 51' 26""N","131° 11' 21""W",7.9,1.2,5070.0,1545.3,1544.9
56,Chevron et al.,Upluk C-21,"69° 20' 06"" N","135° 21' 25"" W",23.2,15.2,5371.0,1637.1,1636.8
57,Gulf et al.,Parsons N-10,"68° 59' 49""N","133° 31' 50""W",67.7,61.6,10515.1,3205.0,
58,Imp. et al.,Natagnak K-53,"69° 42' 39""N","131° 43' 55""W",20.1,13.4,5747.0,1751.7,1751.4
59,Gulf et al.,Reindeer F-36,"69° 05' 20"" N","134° 39' 00"" W",15.8,10.4,6000.0,1828.8,1825.5
60,Union,Aklavik F-38,"68° 07' 15"" N","135°09' 11"" W",12.2,7,6745.0,2055.9,2051.7
61,I.O.E.,Taglu D-43 (F-43),"69° 22' 14"" N","134° 57' 00"" W",11.8,1.5,14944.0,4554.9,4546.8
62,Elf et al.,Amaguk H-16,"69° 35' 24""N","131° 02' 52""W",20,16.9,4126.0,1257.6,1254.1
63,Shell,Kugpik O-13,"68° 52' 50"" N","135° 18' 15"" W",10.4,1.8,12101.0,3688.4,3662.7
64,Imp.,Ivik K-54,"69° 33' 36""","134° 29' 01""",42.2,32.9,10338.0,3151.0,3150.1
65,Imp.,Langley E-29,"69° 18' 29""N","135° 36 56""W",10.7,0.9,12499.0,3809.7,3791.8
66,Gulf et al.,Ikhil I-37,"68° 46' 33""N","134° 07' 45""W",131.7,125,15432.0,4703.7,4687.2
67,Imp.,Wagnark G-12,"69° 11' 21""N","133° 18' 14""W",38.5,30.6,11718.0,3571.7,3567.4
68,Shell,Kumak C-58,"69° 17' 06""N","135° 13' 53""W",11,2.4,11582.0,3530.2,3525.3
69,Elf et al.,Kiligvak I-29,"69° 28' 38""N","131° 20' 16""W",17.4,13.7,6446.9,1965.0,1955.7
