UWI,Well Short Name,EASTING,NORTHING,MAP_DATUM,SURF_LAT,SURF_LONG,UTMZONE,Well Status,KB (m),GL (m),"Final Interpretation, Ice-bearing permafrost base, Base of fully frozen (mKB)",Final Interpretation Ice-bearing permafrost base Base of fully frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Formation,Final Interpretation Ice-bearing permafrost base Base of partially frozen (mKB),Final Interpretation Ice-bearing permafrost base Base of partially frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Final Interpretation Ice-bearing permafrost base Transition zone thickness (m),Final Interpretation Ice-bearing permafrost base Formation/ Sequence ,Final Interpretation Ice-bearing permafrost base PF present,Final Interpretation Ice-bearing permafrost base Data used for final pick*,Base of permafrost interpretations from different methods Temperature surveys PF (mKB),Base of permafrost interpretations from different methods Temperature surveys IBPF(mKB),Base of permafrost interpretations from different methods Temperature surveys Quality,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,"Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen, Quality",Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Quality,Comments
300E566950136450,Aagnerk E-56,422704,7739757,NAD83,69.75445,-137.001764,08W,Abandoned,20,-33,337.2,284.2,b,Iperk,,,,,,Yes,GP,,,,337.2,284.2,"RT,DT, WSS",b,,,,,IBPF is 336m from well history report
300C156930135450,Adgo C-15,467796,7699573,NAD83,69.403515,-135.820304,08W,Abandoned,10.2,-1.5,267.3,255.6,b,Iperk,,,,,,Yes,GP,,,,267.3,255.6,"RT,RHOB,CAL,SP,WSS",b,,,,,No permafrost is expected at this location from well history report
300F286930135450,Adgo F-28,466426,7705280,NAD83,69.454518,-135.85721,08W,Gas and oil,8.3,-2.1,218,207.6,c,Iperk,,,,,,Probably Yes,GP,,,,218,207.6,"WSS,RT,RHOB,CAL",c,,,,,
300G246930135450,Adgo G-24,466612,7698220,NAD83,69.391236,-135.849969,08W,Gas,9.3,-1.8,278,266.9,b,Iperk,290,279,b,12,Iperk,Yes,GP,,,,278,266.9,"RT,WSS",b,290,278.9,"RT,WSS",b,
300H296930135450,Adgo H-29,467036,7707316,NAD83,69.472854,-135.842355,08W,Gas,10.2,-2.8,247,233.8,b,Iperk,272,259,b,25,Iperk,Yes,GP,,,,247,234,"RT,SP,CAL",b,272,259,"RT,SP,CAL",b,
300J276930135450,Adgo J-27,466678,7703845,NAD83,69.441684,-135.850289,08W,Gas and oil,12.7,-1.8,220,205.5,b,Iperk,,,,,,Yes,GP,,,,220,205.5,"RT,RHOB,SP",b,,,,,
300P256930135450,Adgo P-25,466866,7700948,NAD83,69.415737,-135.844475,08W,Gas and oil,8.2,-1.8,258,248.1,b,Iperk,,,,,,Yes,GP,0,,d,258,248,"RT,CAL,WSS",b,258,248,"RT,CAL,WSS",b,
300P096940137450,Adlartok P-09,392872,7728981,NAD83,69.647473,-137.760745,08W,Oil,12.8,-67.5,0,0,c,Quaternary,,,,,,Probably No,GP,,,,No IBPF,,"Logs,WSS",c,,,,,
302I457030133300,Aiverk 2I-45,548324,7812360,NAD83,70.412245,-133.708399,08W,Abandoned,11.9,-60,575,503.1,a,Iperk,600,528,a,25,Iperk,Yes,GP,,,,575,503.1,"RT,SP,CAL",a,600,528.1,"RT,SP,CAL",a,
300I457030133300,Aiverk I-45,548527,7812246,NAD83,70.411189,-133.703038,08W,Abandoned,11.5,-61.9,575,501.6,a,Iperk,600,527,a,25,Iperk,Yes,GP,,,,575,501.6,"RT,SP,CAL",a,600,526.6,"RT,SP,CAL",a,
300F146930132150,Akku F-14,605203,7699871,NAD83,69.387483,-132.321624,08W,Abandoned,40.2,33.5,229,222.3,a,Aklak,314,307,b,85,Aklak,Yes,GP,,,,229,222.3,"RT,DT, WSS,SP,CAL",a,314,307.3,"RT,WSS",b,
