WID,Consortium,Current Owner,Land Owner,Well Name,UWI,Class,Status,Latitude (NAD83) -Well Post,Longitude (NAD83) -Well Post,Region,Original Spud Date,Original Rig Release Date,Depth (m),Notes
761,ESSO CIGOL AKKU F-14,Imperial,ILA,AKKU F-14,300F146930132150,Exploratory Well,Abandoned,"69° 23' 14.9""","132° 19' 17.8""",NWT Mackenzie Delta Onshore,09-Dec-72,01-Jan-73,,
546,SHELL AKLAVIK A-37,Shell,Territorial,AKLAVIK A-37,300A376820135000,Exploratory Well,Abandoned,"68° 16' 14.2""","135° 7' 55.6""",NWT Mackenzie Delta Onshore,02-Aug-70,13-Oct-70,,
820,ELF ET AL IMPERIAL,Husky,ILA,AMAGUK H-16,300H166940131000,Exploratory,Plug and abandoned,"69° 35' 24.0""","131° 2' 52.1""",NWT Mackenzie Delta Onshore,25-Mar-73,1-May-73,1257.9,
920,IMP CIGOL AMAROK N-44,Imperial,Territorial,AMAROK N-44,300N447000130450,Exploratory Well,Abandoned,"69° 53' 59.1""","130° 56' 25.8""",NWT Mackenzie Delta Onshore,11-Apr-74,26-May-74,,
829,ELFEX ANDREASEN L-32,Husky,Territorial,ANDREASEN L-32,300L327720118000,Exploratory Well,Abandoned,"77° 11' 40.0""","118° 14' 26.4""",NWT Arctic Islands Onshore,09-Apr-73,30-May-73,,
843,SUNCOR APOLLO C-73,Suncor,Territorial,APOLLO C-73,300C737540111300,Exploratory Well,Abandoned,"75° 32' 2.5""","111° 59' 6.8""",NWT Arctic Islands Onshore,13-May-73,10-Aug-73,,
728,IMP ATERTAK E-41,Imperial,ILA,ATERTAK E-41,300E416940132300,Exploratory Well,Suspended,"69° 30' 26.9""","132° 42' 17.8""",NWT Mackenzie Delta Onshore,01-May-72,13-Jul-72,,
1615,ESSO HOME ET AL ATERTAK K-31,Imperial,ILA,ATERTAK K-31,300K316940132300,Exploratory Well,Abandoned,"69° 30' 34.3""","132° 39' 17.2""",NWT Mackenzie Delta Onshore,08-Apr-86,12-May-86,,
584,GULF MOBIL ATIGI G-04,ConocoPhillips,,ATIGI G-04,300G046900133450,Exploratory Well,Abandoned,"68° 53' 15.6""","133° 46' 12.9""",NWT Mackenzie Delta Onshore,07-Jan-71,27-Apr-71,,
894,GULF MOBIL ATIGI O-48,ConocoPhillips,,ATIGI O-48,300O486900133450,Exploratory Well,Suspended,"68° 57' 47.7""","133° 56' 16.7""",NWT Mackenzie Delta Onshore,09-Jan-74,28-Feb-74,,
2049,MGM ET AL ATIK P-19,MGM Energy Corp.,Territorial,ATIK P-19,300P196900135300,Exploratory Well,Suspended,"68° 58' 54.4""","135° 32' 51.9""",NWT Mackenzie Delta Onshore,23-Dec-07,26-Jan-08,,
887,IMP CIGOL ATKINSON A-55,Imperial,ILA,ATKINSON A-55,300A556950131450,Delineation Well,Abandoned,"69° 44' 9.0""","131° 58' 3.9""",NWT Mackenzie Delta Onshore,15-Dec-73,23-Jan-74,,
478,ESSO ATKINSON H-25,Imperial,ILA,ATKINSON H-25,300H256950131450,Exploratory Well,Abandoned,"69° 44' 17.6""","131° 50' 31.2""",NWT Mackenzie Delta Onshore,14-Dec-69,26-Feb-70,,
534,IOE,Imperial,ILA,ATKINSON M-33,300M336950131450,Exploratory,Plug and abandoned,"69° 42' 47.9""","131° 54' 42.8""",NWT Mackenzie Delta Onshore,1-May-70,3-Jun-70,1928.5,
1015,SUNCOR ELF BAR HARBOUR E-76,Suncor,Territorial,BAR HARBOUR E-76,300E767420123300,Exploratory Well,Abandoned,"74° 15' 28.8""","123° 54' 2.2""",NWT Arctic Islands Onshore,24-Nov-75,02-Jan-76,,
562,SHELL BEAVER HOUSE CREEK H-13,Shell,ILA,BEAVER HOUSE CREEK H-13,300H136830135300,Exploratory Well,Suspended,"68° 22' 15.9""","135° 33' 12.2""",NWT Mackenzie Delta Onshore,23-Nov-70,27-Mar-71,,
537,IOE,Imperial,YT Reserved,BLOW RIVER YT E-47,300E476850137150,Exploratory,Plug and abandoned,"68° 46' 19.9""","137° 27' 13.0""",Yukon Onshore,8-May-70,15-Nov-70,4267.2,
657,SUNCOR BP SKELLY TENNECO ET AL BROCK C-50,Suncor,Territorial,BROCK C-50,300C507750114000,Exploratory Well,Abandoned,"77° 49' 2.9""","114° 17' 35.6""",NWT Arctic Islands Onshore,12-Nov-71,22-Mar-72,,
719,SUNCOR BROCK I-20,Suncor,Territorial,BROCK I-20,300I207800114300,Exploratory Well,Abandoned,"77° 59' 42.9""","114° 34' 2.8""",NWT Arctic Islands Onshore,14-Apr-72,28-Jun-72,,
532,ELF CAPE NOREM A-80,Husky,Territorial,CAPE NOREM A-80,300A807730110000,Exploratory Well,Abandoned,"77° 29' 16.1""","110° 27' 14.4""",NWT Arctic Islands Onshore,20-Apr-70,27-Aug-70,,
