Name,Operator,Spud_Date,RIG RELEASE,DRILLING PLATFORM,WATER DEPTH (M)
NUKTAK C-22,Imperial,1972-12-16,1973-03-08,Land on Hooper Is,NA
IMMERK B-48,Imperial,1973-09-17,1973-12-22,Sacrificial Beach Is,3
ADGO F-28,Imperial,1973-12-28,1974-03-19,Sandbag Retained Is,2
PULLEN E-17,Imperial,1974-04-21,1974-07-11,Sandbag Retained Is,2
UNARK L-24,Sun,1974-09-26,1975-05-24,Hauled Island,2
PELLY B-35,Sun,1974-10-05,1975-02-14,Hauled Island,2
ADGO P-25,Imperial,1975-01-02,1975-03-28,Sandbag Retained Is,2
NETSERK B-44,Imperial,1975-01-06,1975-06-08,Sandbag Retained Is,5
ADGO C-15,Imperial,1975-04-21,1975-07-25,Sandbag Retained Is,2
IKATTOK J-17,Imperial,1975-07-10,1976-02-28,Sandbag Retained Is,2
NETSERK F-40,Imperial,1975-11-08,1976-05-09,Sandbag Retained Is,8
SARPIK B-35,Imperial,1976-04-02,1976-09-04,Sandbag Retained Is,4
KOPANOAR D-14,Dome,1976-08-08,1976-09-26,Canmar Explorer 3,60
TINGMIARK K-91,Dome,1976-08-11,1977-10-18,Canmar Explorer 1/3,28
NEKTORALIK K-59,Dome,1976-09-23,1977-10-17,Canmar Explorer 2/3,64
KOPANOAR M-13,Dome,1976-09-27,1979-09-10,Canmar Explorer 3,57
KUGMALLIT H-59,Imperial,1976-09-30,1976-11-10,Sandbag Retained Is,5
ARNAK L-30,Imperial,1976-10-05,1977-03-16,Sacrificial Beach Is,9
UNARK 2L-24,Sun,1976-10-19,1977-05-08,Hauled Island,2
KANNERK G-42,Imperial,1977-03-30,1977-05-14,Sacrificial Beach Is,8
UKALERK C-50,Dome,1977-07-18,1977-10-03,Canmar Explorer 1,42
KAGLULIK A-75,Dome,1977-07-19,1978-08-06,Canmar Explorer 3,39
NERLERK M-98,Dome,1977-10-04,1982-08-28,Canmar Explorer 1/3,52
ISSERK E-27,Imperial,1977-12-04,1978-05-05,Sacrificial Beach Is,13
NATSEK E-56,Dome,1978-07-10,1979-10-08,Canmar Explorer 2-4,34
UKALERK 2C-50,Dome,1978-08-10,1979-10-11,Canmar Explorer 1,42
TARSIUT A-25,Dome,1978-10-18,1980-07-28,Canmar Explorer 3,20
